Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,72.25,72.8,71.2,72.5,68.19,318338
2014-11-11,72.5,73.7,71.4,73.2,68.85,536520
2014-11-12,73.75,73.75,72.25,72.68,68.35,615242
2014-11-13,73.75,73.75,69.82,71.1,66.87,477322
2014-11-14,70.0,72.45,69.65,69.95,65.79,423820
2014-11-17,70.5,72.35,70.3,72.0,67.72,416916
2014-11-18,72.0,72.38,71.12,71.72,67.46,331862
2014-11-19,71.75,72.85,71.25,71.45,67.2,322064
2014-11-20,71.25,71.7,70.35,70.95,66.73,230350
2014-11-21,71.5,74.7,71.5,73.75,69.36,1032028
2014-11-24,74.5,75.0,72.85,73.12,68.78,590680
2014-11-25,73.5,73.6,70.12,72.05,67.76,513516
2014-11-26,72.0,72.57,71.18,71.75,67.48,299892
2014-11-27,72.0,74.18,71.3,73.8,69.41,417180
2014-11-28,74.03,76.22,74.03,75.65,71.15,782922
2014-12-01,76.5,76.5,73.65,73.93,69.53,473478
2014-12-02,72.72,74.25,72.28,73.25,68.89,907742
2014-12-03,73.25,75.75,73.25,74.82,70.37,524002
2014-12-04,74.85,75.35,73.28,73.78,69.39,430514
2014-12-05,73.9,74.85,72.7,72.97,68.63,849830
2014-12-08,72.5,73.32,70.35,70.62,66.42,355778
2014-12-09,70.53,71.28,68.85,69.15,65.04,385508
2014-12-10,68.5,70.88,68.22,70.38,66.19,965644
2014-12-11,70.55,71.78,69.1,71.07,66.85,334754
2014-12-12,71.85,72.25,70.85,71.2,66.96,448812
2014-12-15,70.5,70.95,69.32,70.07,65.91,292358
2014-12-16,70.25,70.6,66.68,67.1,63.11,439180
2014-12-17,66.53,70.8,65.68,69.25,65.13,586926
2014-12-18,71.0,71.6,70.1,71.03,66.8,393460
2014-12-19,71.53,74.0,71.4,72.85,68.52,464114
2014-12-22,73.25,73.47,71.57,72.82,68.49,306972
2014-12-23,73.45,74.05,71.95,73.25,68.89,209122
2014-12-24,73.5,74.2,72.95,73.8,69.41,254428
2014-12-26,74.0,74.45,73.35,73.85,69.46,184932
2014-12-29,74.0,75.55,73.62,74.55,70.12,246202
2014-12-30,74.88,75.65,74.2,75.3,70.82,309820
2014-12-31,75.43,76.0,74.75,75.8,71.29,238832
2015-01-01,76.0,76.0,74.97,75.25,70.77,193622
2015-01-02,75.5,76.05,74.32,74.57,70.14,282610
2015-01-05,74.62,75.2,73.75,73.93,69.53,211540
2015-01-06,73.95,74.4,72.55,72.82,68.49,229388
2015-01-07,74.0,74.0,72.5,73.22,68.87,249914
2015-01-08,73.7,74.75,73.6,74.4,69.97,317250
2015-01-09,75.0,75.25,74.03,74.45,70.02,305226
2015-01-12,74.5,75.45,74.1,74.88,70.42,353088
2015-01-13,74.75,75.4,73.3,74.15,69.74,271234
2015-01-14,74.38,74.93,73.15,74.03,69.62,318872
2015-01-15,76.03,76.8,71.6,72.4,68.09,1956348
2015-01-16,72.85,73.03,71.6,72.22,67.93,658376
2015-01-19,72.5,73.53,72.4,73.3,68.94,429940
2015-01-20,74.0,74.05,72.28,72.47,68.16,701030
2015-01-21,72.97,73.1,71.38,72.25,67.95,937362
2015-01-22,72.43,72.9,71.62,71.9,67.62,230542
2015-01-23,72.5,72.75,71.68,71.85,67.58,225842
2015-01-27,72.75,72.75,71.95,72.53,68.21,234940
2015-01-28,72.53,73.65,72.43,72.5,68.19,701110
2015-01-29,72.5,73.15,71.45,72.15,67.86,468146
2015-01-30,72.35,72.7,70.5,71.03,66.8,571298
2015-02-02,70.97,72.7,70.0,72.43,68.12,316104
2015-02-03,72.75,72.97,71.4,71.6,67.34,518850
2015-02-04,72.05,72.05,69.8,70.07,65.91,411454
2015-02-05,69.5,69.75,67.57,68.55,64.47,457614
